RHGSE,CMOFQ,967
EMPTY,EMPTY,-1
VNCLL,QWDRC,1021
EMPTY,EMPTY,-1
EMPTY,EMPTY,-1
EHJSL,VZGTE,1264
SWPVQ,GJAWF,1316
EMPTY,EMPTY,-1
TIDAR,SHYFL,519
EMPTY,EMPTY,-1
FGELT,RPMBS,1376
LEYLG,QGSHN,331
NSRVS,PYAWE,1344
EMPTY,EMPTY,-1
EMPTY,EMPTY,-1
EMPTY,EMPTY,-1
EMPTY,EMPTY,-1
VTSOJ,AZIOE,993
FEXLO,WGFGX,244
VXTOC,HEICZ,732
QAUUS,ZKZJV,1157
LWCOA,EFMKR,775
EMPTY,EMPTY,-1
ENUVL,MGCBG,74
OBWOE,QWQSW,1015
HTVMJ,TABVP,278
FXYUB,QTKBW,956
AJLRZ,JNXCF,1427
GYZQD,CCJPT,982
EMPTY,EMPTY,-1
UKCIK,FKJEH,539
KDHLJ,WSTSC,1108
EMPTY,EMPTY,-1
PTHDR,WWLNR,880
EMPTY,EMPTY,-1
EMPTY,EMPTY,-1
RSGNM,YMTIN,390
HKUXL,FRLOS,1389
EMPTY,EMPTY,-1
PIBOI,OEXZL,388
AIIUP,DLUIZ,544
TMDTP,ZELHG,953
JOZJR,TUUUN,1481
MYGSZ,AIFMA,1480
AFYUL,BPUPE,230
QPXZW,GDKXG,1244
EMPTY,EMPTY,-1
DADUX,LPFOT,289
BZNJG,XBBIZ,1380
BVTGV,ORQLA,1422
QNEVX,SLBQD,1203
RALUH,MAGFJ,1050
NRFVQ,DSDFM,1237
SUWRY,MSDMG,114
RQBCI,OACWC,170
ATSXL,YVIFN,1430
KEPSC,VBXLY,1063
VHIBQ,ACIYF,376
ZZJEP,FGVHP,691
STHQV,VXFJP,1199
JSBHE,BRQFC,1279
UYZEO,ZJYQL,871
IDCWR,UVRXJ,734
EMPTY,EMPTY,-1
MTOAT,ONVZX,477
GZCJB,EOAAW,843
XJZOL,TDWXD,375
BMVFL,UXAMB,308
